Delivery,DriveThrough,Parking,Wlan,address,map_url,name
,,パーキング,無線LAN,群馬県高崎市棟高町1400,//map.yahoo.co.jp/maps?lat=36.3881469&lon=139.0093483&hlat=36.3881469&hlon=139.0093483&z=16&datum=tky&home=on,イオンモール高崎店
,ドライブスルー,パーキング,無線LAN,群馬県桐生市広沢町4-2050-1 ,//map.yahoo.co.jp/maps?lat=36.3787895&lon=139.3436439&hlat=36.3787895&hlon=139.3436439&z=16&datum=tky&home=on,桐生広沢店
,,,無線LAN,群馬県桐生市末広町8-21 ,//map.yahoo.co.jp/maps?lat=36.4076939&lon=139.3401908&hlat=36.4076939&hlon=139.3401908&z=16&datum=tky&home=on,桐生店
,ドライブスルー,パーキング,無線LAN,栃木県宇都宮市宝木町2-2575-1 ,//map.yahoo.co.jp/maps?lat=36.5806014&lon=139.8532878&hlat=36.5806014&hlon=139.8532878&z=16&datum=tky&home=on,宇都宮宝木店
,,パーキング,無線LAN,栃木県宇都宮市江曽島本町22-7 ,//map.yahoo.co.jp/maps?lat=36.528675&lon=139.8701642&hlat=36.528675&hlon=139.8701642&z=16&datum=tky&home=on,宇都宮アピタ店
,,パーキング,無線LAN,栃木県宇都宮市インターパーク6丁目1番地1,//map.yahoo.co.jp/maps?lat=36.4875028&lon=139.9097725&hlat=36.4875028&hlon=139.9097725&z=16&datum=tky&home=on,FKDインターパーク店
,ドライブスルー,パーキング,無線LAN,栃木県宇都宮市西川田町6-6-39 ,//map.yahoo.co.jp/maps?lat=36.5060814&lon=139.8580786&hlat=36.5060814&hlon=139.8580786&z=16&datum=tky&home=on,宇都宮西川田店
,ドライブスルー,パーキング,無線LAN,栃木県宇都宮市東簗瀬1-28-27 ,//map.yahoo.co.jp/maps?lat=36.5396297&lon=139.9045586&hlat=36.5396297&hlon=139.9045586&z=16&datum=tky&home=on,宇都宮簗瀬店
,,パーキング,無線LAN,栃木県宇都宮市今泉町237 ,//map.yahoo.co.jp/maps?lat=36.5707128&lon=139.9035589&hlat=36.5707128&hlon=139.9035589&z=16&datum=tky&home=on,福田屋ショッピングプラザ店
,ドライブスルー,パーキング,無線LAN,栃木県宇都宮市御幸町字道下289-12 ,//map.yahoo.co.jp/maps?lat=36.5756125&lon=139.9239669&hlat=36.5756125&hlon=139.9239669&z=16&datum=tky&home=on,宇都宮御幸町店
,,パーキング,無線LAN,栃木県足利市朝倉町245-5,//map.yahoo.co.jp/maps?lat=36.3171186&lon=139.4529108&hlat=36.3171186&hlon=139.4529108&z=16&datum=tky&home=on,足利コムファースト店
,ドライブスルー,パーキング,無線LAN,栃木県足利市堀込町2481-1 ,//map.yahoo.co.jp/maps?lat=36.3073597&lon=139.4486281&hlat=36.3073597&hlon=139.4486281&z=16&datum=tky&home=on,足利南店
,,パーキング,無線LAN,栃木県栃木市箱森町37-9,//map.yahoo.co.jp/maps?lat=36.39163&lon=139.727195&hlat=36.39163&hlon=139.727195&z=16&datum=tky&home=on,イオン栃木店
